,zipcode,population,sqkm,lat,lon,population_density,physicians_count,physicians_density,physicians_per_1000_people
0,80331,4741,0.78277,48.13575,11.57351,6056.696092083244,174,222.28751740613464,36.701117907614424
1,80333,11265,1.615148,48.14495,11.56824,6974.593040390107,102,63.152107422973,9.054593874833555
2,80335,9042,1.697719,48.14657,11.55112,5325.969727616879,71,41.82081958203919,7.852245078522452
3,80336,8103,1.568529,48.13101,11.55228,5165.986730242156,108,68.85432146935122,13.328396890040727
4,80337,15280,1.046991,48.12675,11.55904,14594.20377061503,51,48.711020438571104,3.337696335078534
5,80339,26482,1.998925,48.13468,11.53796,13248.120864964918,19,9.505108996085395,0.7174684691488558
6,80469,23960,1.223598,48.12662,11.57054,19581.59460868684,49,40.045832046145875,2.045075125208681
7,80538,11009,2.142386,48.14309,11.59025,5138.663154072142,29,13.536309516585712,2.634208374965937
8,80539,3210,0.833153,48.14436,11.58107,3852.8337532241976,15,18.003896043103726,4.672897196261682
9,80634,18599,1.273151,48.1503,11.52845,14608.636367563628,91,71.47620352966773,4.892736168611215
10,80636,22680,1.669394,48.15035,11.54217,13585.7682488376,32,19.16863244985905,1.4109347442680777
11,80637,20448,2.193278,48.15944,11.53661,9323.031553683571,46,20.973173487355457,2.2496087636932707
12,80638,9589,3.992636,48.16304,11.50887,2401.671477189506,13,3.255994285479568,1.3557200959432683
13,80639,19417,3.924203,48.15029,11.50211,4948.011099323863,62,15.79938652511096,3.193078230416645
14,80686,19915,2.790459,48.13171,11.51661,7136.818709753486,45,16.126379208581817,2.2596033140848606
15,80687,21577,2.311476,48.14052,11.50825,9334.728113119065,34,14.709216102611492,1.5757519581035362
16,80689,28077,3.652286,48.13266,11.48909,7687.514066532577,20,5.476022414454946,0.7123268155429712
17,80796,15424,0.804977,48.16287,11.56981,19160.795898516357,68,84.47446324553371,4.408713692946058
18,80797,17184,1.823391,48.16165,11.55727,9424.19919808752,25,13.71071810708729,1.4548417132216014
19,80798,12747,0.487418,48.15518,11.56616,26152.0912235494,36,73.85857723760715,2.824193927983055
20,80799,13557,0.672546,48.15207,11.57481,20157.72898805435,51,75.83124425689842,3.761894224385926
21,80801,9242,0.46985,48.15916,11.57902,19670.107481110997,76,161.7537511971906,8.223328283921228
22,80802,9333,1.491727,48.16004,11.593,6256.506720063389,51,34.1885613118218,5.46448087431694
23,80803,9404,0.526172,48.16442,11.58033,17872.48276229066,31,58.91609587739371,3.296469587409613
24,80804,14468,1.666769,48.17252,11.5764,8680.26703160426,25,14.999079056545929,1.7279513408902405
25,80805,17606,5.607253,48.17199,11.60312,3139.8618895919267,15,2.675106687713217,0.8519822787686016
26,80807,25489,3.871744,48.18307,11.58399,6583.338154588733,49,12.655795424490876,1.9223978971320963
27,80809,21134,4.693812,48.17828,11.55387,4502.523748288171,45,9.58709040754082,2.1292703700198734
28,80933,18237,1.901156,48.21799,11.55671,9592.58472213748,13,6.837944913515776,0.7128365410977683
29,80935,12804,3.697491,48.19971,11.55527,3462.888753481753,26,7.0317953444646655,2.0306154326772883
30,80937,20995,6.272729,48.20958,11.57515,3347.0280638618374,18,2.86956442722139,0.8573469873779471
31,80939,25640,16.041944,48.20445,11.61273,1598.3100302556843,18,1.122058523580434,0.7020280811232449
32,80992,20834,4.260131,48.1737,11.51927,4890.459941255327,13,3.051549353764004,0.6239800326389555
33,80993,16207,2.401043,48.1867,11.52141,6749.983236451825,3,1.2494570068091242,0.1851052014561609
34,80995,24081,24.21145,48.218,11.51277,994.6120533879632,22,0.9086609847819936,0.9135833229517047
35,80997,22698,10.930837,48.19279,11.48446,2076.510700873135,8,0.7318744209615421,0.35245396070138335
36,80999,14831,8.413683,48.19266,11.45203,1762.723886792502,12,1.4262481721738267,0.8091160407255074
37,81241,20877,4.530186,48.14078,11.46653,4608.420051627019,53,11.699298880884804,2.53867892896489
38,81243,19098,3.920264,48.14465,11.43793,4871.610687443499,18,4.591527509371818,0.942507068803016
39,81245,25445,8.886998,48.16091,11.43136,2863.171568171839,32,3.600765972941594,1.2576144625663195
40,81247,16330,4.938245,48.1682,11.46864,3306.8428156156688,11,2.2275120007209037,0.6736068585425597
41,81249,17519,24.899701,48.16514,11.38836,703.582745832972,6,0.24096674895815015,0.3424853016724699
42,81369,23294,2.038406,48.11204,11.52962,11427.556630033469,16,7.849270459368741,0.6868721559199793
43,81371,23058,2.167561,48.11204,11.5468,10637.762904942469,18,8.304264562796618,0.78064012490242
44,81373,24275,2.390052,48.1232,11.53179,10156.68278347082,11,4.602410324126839,0.45314109165808447
45,81375,22853,3.099704,48.11867,11.48349,7372.639452025097,23,7.420063335079736,1.0064324158753775
46,81377,24272,6.76985,48.11084,11.491,3585.308389403015,41,6.056264171288876,1.6891891891891893
47,81379,23784,6.207256,48.10251,11.51952,3831.644771860545,31,4.994155227366166,1.303397241843256
48,81475,15079,2.571481,48.09002,11.48025,5863.935996416073,11,4.277690560420241,0.7294913455799455
49,81476,15172,2.751227,48.08739,11.4957,5514.630381280788,12,4.361690256747262,0.7909306617453203
50,81477,14152,3.184975,48.08389,11.50999,4443.362977731379,24,7.535380968453441,1.695873374788016
51,81479,15183,4.896482,48.0761,11.52156,3100.7976747387206,42,8.577586928737817,2.7662517289073305
52,81539,25433,1.899346,48.11011,11.5911,13390.398589830394,12,6.317964183461044,0.4718279400778516
53,81541,25035,2.25431,48.12126,11.58779,11105.39366812905,15,6.653920711880798,0.5991611743559018
54,81543,19962,2.943451,48.1083,11.56503,6781.835335461674,7,2.37816087307042,0.3506662659052199
55,81545,12596,3.316705,48.08389,11.54886,3797.745051187851,12,3.6180486356187846,0.952683391552874
56,81547,17735,2.302272,48.10033,11.57324,7703.260083951854,32,13.899313373919329,1.804341697208909
57,81549,24582,5.001028,48.09799,11.59982,4915.389395940195,17,3.3993011036930807,0.6915629322268326
58,81667,17082,1.205527,48.13041,11.60102,14169.736555050198,17,14.101716510704447,0.9951996253366117
59,81669,16903,1.660407,48.12054,11.60335,10180.03417234449,23,13.852025437136799,1.3607052002603088
60,81671,17950,2.293257,48.12326,11.61188,7827.295414338646,6,2.6163661552106894,0.3342618384401114
61,81673,22612,2.830201,48.12565,11.63228,7989.538552208835,30,10.59995385486755,1.3267291703520254
62,81675,11770,1.618002,48.14135,11.59825,7274.403863530453,23,14.215062774953307,1.954120645709431
63,81677,13175,3.22414,48.13959,11.62034,4086.361014099885,6,1.8609613726451086,0.45540796963946867
64,81679,9142,1.569627,48.1484,11.61248,5824.313674522673,17,10.830598607185019,1.8595493327499453
65,81735,23739,3.689091,48.10931,11.63999,6434.918520578647,35,9.487431998831148,1.4743670752769702
66,81737,28379,5.325262,48.09958,11.63755,5329.127468282311,43,8.074720079500313,1.5152049050354137
67,81739,23019,6.902256,48.0893,11.65819,3334.9965576472387,28,4.056644668062153,1.2163864633563577
68,81825,26239,4.969818,48.11807,11.66179,5279.670201202539,42,8.451013699093206,1.600670757269713
69,81827,22488,6.742075,48.10733,11.69119,3335.471646340333,19,2.818123500554355,0.8448950551405193
70,81829,20707,10.291376,48.13379,11.68308,2012.073021139253,18,1.7490372521614215,0.8692712609262568
71,81925,16377,4.332202,48.16326,11.62015,3780.294640000628,27,6.2323963656357675,1.648653599560359
72,81927,22877,3.554265,48.16048,11.63825,6436.492495635525,24,6.752450928673016,1.0490886042750363
73,81929,14780,12.777325,48.16065,11.66304,1156.7366408853184,12,0.9391637138446428,0.8119079837618403
